Station Name,ZIP,Latitude,Longitude,ID
LADWP - Receiving Station C,90744,33.799476,-118.257977,33180
LADWP - Valley Center Admin Lot,91405,34.208708,-118.444358,33182
LADWP - Valley Generating Station,91352,34.241928,-118.390147,33183
City of Lacey - City Hall Parking,98503,47.044011,-122.822404,33351
Oregon Museum of Science and Industry (OMSI) - South Parking Lot,97214,45.508396,-122.664667,33378
City of Ukiah - Public Parking Lot,95482,39.15,-123.2091,33544
Nut Tree Village,95688,38.368755,-121.961192,33545
Placer County Community Development Resource Center,95603,38.9412492,-121.1054805,33550
4th and G Plaza Public Parking Garage,95616,38.54643,-121.7388,33555
Davis Amtrak Station,95616,38.5443,-121.738,33556
University of California - Davis - Quad Parking Structure,95616,38.544538,-121.749713,33557
University Covenant Church,95618,38.55755,-121.6947,33558
Wildhorse Golf Club,95618,38.569412,-121.721373,33559
Lakewood Center Mall,90712,33.84788,-118.13889,33564
Golden Gate Ferry Terminal,94939,37.94495,-122.5096,33690
Oakland International Airport - Daily Lot,94621,37.7136,-122.2087,33695
Seattle-Tacoma International Airport - General Parking,98188,47.443377,-122.296229,33717
City of Champaign - Hill Street Parking Deck,61820,40.119161,-88.244185,33921
Discovery Center of Idaho,83702,43.608009,-116.197968,34106
Travis Park United Methodist Church,78205,29.427254,-98.490136,34829
City of Keizer - City Hall,97303,44.99574,-123.019758,34849
Nike - LA Garage,97006,45.508795,-122.8249,34859
Fairfield Transportation Center,94533,38.2482,-122.0678,35146
San Francisco City Hall,94102,37.77913,-122.418,35149
METRO NASHVILLE FULTON GARAGE 1,37210,36.153492,-86.76732,35165
LINCOLN CITY TAFT DUAL 1,97367,44.928439,-124.015824,35258
New York Institute of Technology - Old Westbury Solar Carport Station,11568,40.814019,-73.608978,35272
OUC RELIABLE 01,32801,28.535975,-81.379663,35284
PUBLIC STATIONS WILLY ST E,53703,43.083979,-89.363091,35290
Haggen Food & Pharmacy,98502,47.035421,-122.938962,35337
LBCC  LBCC DUAL 2,97321,44.586123,-123.115389,35480
Oregon Electric Group,97214,45.510465,-122.663354,35557
Home Depot,93405,35.249929,-120.689683,35560
San Luis Obispo Promenade - Bed Bath & Beyond,93401,35.25982,-120.676,35561
New York State Energy Research Development Authority - Headquarters,12203,42.702424,-73.857693,35562
Saratoga Technology & Energy Park,12020,42.969823,-73.773021,35563
Central Hudson Gas & Electric,12601,41.688323,-73.93433,35564
Avista Corp,99252,47.673347,-117.388933,35620
Steam Plant Grill,99201,47.654998,-117.425025,35621
Kum & Go #4110,50317,41.615759,-93.57875,35840
Kum & Go #570,50131,41.682385,-93.698315,35841
Kwik Trip #465,55433,45.138245,-93.274379,35943
City of Little Rock,72201,34.74555969,-92.28119659,36342
TUCSON RENTAL OFF NETWORK 1,85748,32.236156,-110.781792,36343
Whole Foods Market,6820,41.072919,-73.476189,36355
ARUNDEL MILLS  ELEMENT HOTELS,21076,39.155907,-76.717216,36363
Element Hotels - Ewing,8628,40.286518,-74.807516,36368
Lane Community College,97405,44.009797,-123.033213,36371
BROOKFIELD PROP 300 CLAY STAT1,77002,29.756604,-95.372854,36378
Hudson Valley Community College - TEC-SMART Building,12020,42.97167,-73.774182,36532
